City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
66,Port Hardy,40,CA,2021-03-23 02:46:30,76,50.6996,-127.4199,44.6,9.22
67,Coquimbo,0,CL,2021-03-23 02:43:16,94,-29.9533,-71.3436,59.0,1.14
68,Cockburn Town,2,TC,2021-03-23 02:46:31,75,21.4612,-71.1419,77.54,13.4
69,Saint-Philippe,0,RE,2021-03-23 02:46:31,73,-21.3585,55.7679,78.8,5.75
70,Arraial Do Cabo,31,BR,2021-03-23 02:46:31,84,-22.9661,-42.0278,76.28,5.7
71,Ormara,0,PK,2021-03-23 02:46:32,72,25.2088,64.6357,74.66,5.84
72,Luganville,20,VU,2021-03-23 02:46:32,77,-15.5333,167.1667,81.66,1.36
73,Kapaa,1,US,2021-03-23 02:46:32,69,22.0752,-159.319,75.2,9.22
74,Georgetown,20,MY,2021-03-23 02:44:16,58,5.4112,100.3354,87.8,6.91
75,Bambous Virieux,40,MU,2021-03-23 02:46:33,94,-20.3428,57.7575,77.0,5.75
76,Prado,0,BR,2021-03-23 02:46:33,85,-17.3411,-39.2208,75.47,4.32
77,Tuburan,20,PH,2021-03-23 02:46:34,62,6.6439,122.2736,89.6,8.05
78,Firozpur Jhirka,31,IN,2021-03-23 02:46:34,25,27.8,76.95,82.89,4.74
79,Mataura,79,NZ,2021-03-23 02:46:34,92,-46.1927,168.8643,57.0,4.0
80,Fujin,100,CN,2021-03-23 02:46:35,48,47.26,132.0322,42.15,14.2
81,Launceston,75,AU,2021-03-23 02:43:19,46,-41.45,147.1667,73.99,16.11
82,Salalah,0,OM,2021-03-23 02:46:35,46,17.0151,54.0924,73.4,3.44
83,Poum,66,NC,2021-03-23 02:46:36,68,-20.2333,164.0167,80.29,13.42
84,Nadym,98,RU,2021-03-23 02:43:05,94,65.5333,72.5167,16.21,12.1
85,Saint-Pierre,0,RE,2021-03-23 02:46:36,73,-21.3393,55.4781,78.8,5.75
86,Sokoni,79,TZ,2021-03-23 02:46:36,73,-6.4333,39.55,83.1,6.06
87,Candido De Abreu,97,BR,2021-03-23 02:46:37,97,-24.5669,-51.3333,67.98,1.61
88,Azul,76,AR,2021-03-23 02:46:37,72,-36.777,-59.8585,55.54,1.23
89,Kimbe,53,PG,2021-03-23 02:46:38,62,-5.5502,150.1429,88.47,5.99
90,Jamestown,1,US,2021-03-23 02:46:38,17,42.097,-79.2353,53.6,6.29
91,Inirida,43,CO,2021-03-23 02:46:38,96,3.8653,-67.9239,70.92,0.74
92,Aktash,59,RU,2021-03-23 02:46:39,66,50.3,87.7333,19.24,5.48
93,Salinopolis,100,BR,2021-03-23 02:46:39,89,-0.6136,-47.3561,74.82,3.89
94,Chulym,95,RU,2021-03-23 02:46:40,96,55.0997,80.9572,19.06,7.47
95,Pevek,50,RU,2021-03-23 02:46:40,92,69.7008,170.3133,-11.04,1.21
96,Chuy,94,UY,2021-03-23 02:46:40,72,-33.6971,-53.4616,66.96,5.17
